"id","object","class","dim","columns","bytes","sha256","source","eh_id","zenodo_doi"
"coefMcCartneyBMI","coefMcCartneyBMI","data.frame","1109x2","CpGmarker|CoefficientTraining",15453,"513018de49d7dfe5eae5cc9cf9ea589991583b1654f9605e4ba29dc67a92ef5d","biolearn bio-learn/biolearn (McCartney 2018), BSD-3","EH10479","10.5281/zenodo.21840402"
"coefMcCartneyBodyFat","coefMcCartneyBodyFat","data.frame","968x2","CpGmarker|CoefficientTraining",13582,"06f7a91d29737e97928a6ea0027541bfd7aa0381749229b3fbf5af526f5f4014","biolearn bio-learn/biolearn (McCartney 2018), BSD-3","EH10480","10.5281/zenodo.21840402"
"coefMcCartneyEducation","coefMcCartneyEducation","data.frame","373x2","CpGmarker|CoefficientTraining",5432,"3c931a703f527076d6239032ac9ab30eec66b9f46d501555b40936738bd74de8","biolearn bio-learn/biolearn (McCartney 2018), BSD-3","EH10481","10.5281/zenodo.21840402"
"coefMcCartneyHDL","coefMcCartneyHDL","data.frame","737x2","CpGmarker|CoefficientTraining",10412,"b11bd9ab13a3f51653c7c0fde72581c39c6ab9fa45d2a6cd62f410d90753cf5d","biolearn bio-learn/biolearn (McCartney 2018), BSD-3","EH10482","10.5281/zenodo.21840402"
"coefMcCartneyLDL","coefMcCartneyLDL","data.frame","233x2","CpGmarker|CoefficientTraining",3517,"f33ebcac4935c0a9c0b91272e82d0957679920a7b3d01ff40816d29135b836a3","biolearn bio-learn/biolearn (McCartney 2018), BSD-3","EH10483","10.5281/zenodo.21840402"
"coefMcCartneyTotalChol","coefMcCartneyTotalChol","data.frame","204x2","CpGmarker|CoefficientTraining",3113,"c88629c39b686d79637bb7e8441825bfddd212a539ae6897bf64d1a34220ea39","biolearn bio-learn/biolearn (McCartney 2018), BSD-3","EH10484","10.5281/zenodo.21840402"
"coefRepliTali","coefRepliTali","data.frame","88x2","CpGmarker|CoefficientTraining",1477,"2cdcd1c7fdbc0a499c3f0cd8e904327835b6565fa7ced4d63aca51abcfc9f929","EpiMitClocks (Endicott 2022), CC-BY","EH10485","10.5281/zenodo.21840402"
"coefMcCigarette","coefMcCigarette","data.frame","1255x2","CpGmarker|CoefficientTraining",17430,"70f0d0c8910775b0c17367e6e86d58fbad709a9c516bb6013185e9d4d8427a8d","github aleksandra-chybowska/Smoking_EpiScore (Chybowska 2025), MIT","EH10486","10.5281/zenodo.21840402"
"coefEpiTOC2","coefEpiTOC2","data.frame","163x3","CpGmarker|delta|beta0",1345,"0a6364848324fae9cd2763915c38f572a8cdd90a461e5121d864c7f5bcc27bbd","EpiMitClocks (Teschendorff 2020), CC-BY","EH10487","10.5281/zenodo.21840402"
"coefGarma","coefGarma","data.frame","4963x3","CpGmarker|CoefficientTraining|power",57188,"30da8bf93cd30c056dbd5605d175367be1add21feab2f23066ab88e39a1b8599","Garma & Quintela-Fandino 2024 Genome Med 16:116 Additional file 5 Table S5 (General model; CC BY-NC-ND)","EH10518","10.5281/zenodo.22069904"
